BaseStationId,year,month,day,success_call_rate,fail_rate,cell_avail,max_active_abon,overload_rate
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,1,92,4.32,91,7950,3.24
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,2,98,2.28,96,9225,6.3
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,3,99.5,0.48,99.5,2225,1.08
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,4,91,3.84,94,3975,5.94
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,5,91.5,4.56,94.5,7550,4.86
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,6,93.5,1.32,97,9500,9.72
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,7,89,3.36,90,7425,4.32
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,8,94.5,0.96,97,9100,8.46
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,9,99,3,95,4775,9.36
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,10,89.5,3.96,94.5,5825,9.54
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,1,86,4.32,91.5,8525,7.74
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,2,91.5,2.52,99,8200,7.92
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,3,90,3,88,8725,7.56
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,4,92.5,4.32,95,7900,9.9
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,5,93.5,3.96,99,9650,7.38
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,6,97,1.92,89.5,7350,8.64
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,7,98.5,3.96,95.5,9750,9.36
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,8,96.5,3.72,97,8975,9.9
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,9,94.5,2.64,92,8950,8.46
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,10,98,2.76,85.5,4450,9.9
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,1,89,2.4,92,3225,1.8
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,2,90,2.76,98.5,9825,6.66
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,3,95,4.68,89.5,9425,6.3
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,4,99.5,3.72,94,3825,5.58
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,5,89,4.92,99,9450,3.96
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,6,90.5,3.48,93,6525,7.74
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,7,92.5,4.92,95,8625,7.56
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,8,88,4.56,95.5,2950,6.12
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,9,92,2.88,99,3975,6.12
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,10,88.5,3.48,85.5,5775,7.2
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,2,1,93,1.44,91.5,8050,8.64
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,2,2,97,3.36,98.5,6525,1.62
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,2,3,95,3.12,94.5,6450,6.84
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,2,4,91.5,1.32,99.5,4050,5.22
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,2,5,98.5,3.84,100,7025,7.38
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,2,6,99,3.6,90.5,9025,9.72
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,2,7,97,3.6,100,7875,6.3
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,2,8,100,1.8,97,7900,9.18
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,2,9,95.5,4.92,95.5,7875,8.46
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,2,10,96,2.52,90.5,9400,8.64
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,1,1,98.5,4.56,97,2725,9.9
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,1,2,87,3.48,99.5,6850,5.58
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,1,3,89.5,2.04,98.5,5950,2.7
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,1,4,92.5,3.96,97,3425,8.82
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,1,5,99.5,1.08,99,5700,8.28
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,1,6,98,3.84,98,9300,3.42
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,1,7,92,3,98,3450,8.82
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,1,8,99.5,2.76,98,7025,2.7
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,1,9,93,2.52,92.5,9675,6.84
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,1,10,91.5,3.84,93.5,4550,8.1
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,2,1,98,1.8,88,2700,9.9
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,2,2,98,2.28,97.5,8025,7.74
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,2,3,93.5,3.96,96,1250,6.12
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,2,4,98,4.08,99.5,9150,6.66
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,2,5,92,4.56,98,2050,9
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,2,6,94,3.84,99,9700,7.74
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,2,7,95.5,3.36,88.5,1025,4.68
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,2,8,96.5,4.32,89,2975,7.2
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,2,9,97,3.12,98,7700,6.48
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,2,10,93,3.96,97,9275,9.72
6d930204-e831-4beb-a512-080e015c4042,2015,1,1,98,1.92,98,7150,5.76
6d930204-e831-4beb-a512-080e015c4042,2015,1,2,95.5,1.32,88.5,9325,7.02
6d930204-e831-4beb-a512-080e015c4042,2015,1,3,94,2.04,96,5375,8.82
6d930204-e831-4beb-a512-080e015c4042,2015,1,4,95,0.96,97,4250,5.04
6d930204-e831-4beb-a512-080e015c4042,2015,1,5,94.5,2.88,93.5,4025,3.24
6d930204-e831-4beb-a512-080e015c4042,2015,1,6,89,3.48,87.5,6775,8.82
6d930204-e831-4beb-a512-080e015c4042,2015,1,7,97.5,3.36,96.5,9150,1.62
6d930204-e831-4beb-a512-080e015c4042,2015,1,8,91.5,3.72,89.5,7375,5.04
6d930204-e831-4beb-a512-080e015c4042,2015,1,9,92,0.12,87,6675,5.22
6d930204-e831-4beb-a512-080e015c4042,2015,1,10,94,3.36,97.5,4950,3.6
6d930204-e831-4beb-a512-080e015c4042,2015,2,1,97.5,4.92,97.5,7000,5.94
